Rank,Tedarikçi Adı,İlgili Kişi,E-posta,Telefon,Website,Adres,Ürün Türü,Ürün Adı,Fiyat USD/kg (EXW),Fiyat USD/kg (FOB Mersin),MOQ (kg),Teknik Özellikler,Belgeler,Teslim Süresi (gün),Ödeme Koşulları,Aylık Kapasite,Dubai Deneyimi,İhracat Yılı,Teknik Destek,Dubai Saha Desteği,Diller,Laboratuvar,Notlar
44,Master Building Add,Ali Özkan - Sales Manager,export@masterbuildinga.com.tr,+90 276 610 1690,www.masterbuildingadd.com.tr,"Istanbul, Turkey",Accelerators,Master Accelerator,3.5,3.25,300,"Fast setting, strength development","ISO 9001, TSE",20,"30% advance, 70% against B/L copy",390 tons,Hayır,10,Evet,Hayır,"Turkish, English",Quality control,"Tier3 supplier, 390 tons monthly capacity"
44,Master Building Add,Ali Özkan - Sales Manager,export@masterbuildinga.com.tr,+90 276 610 1690,www.masterbuildingadd.com.tr,"Istanbul, Turkey",Retarders,Master Retarder,2.8,2.55,300,Extended workability control,"ISO 9001, TSE",20,"30% advance, 70% against B/L copy",390 tons,Hayır,10,Evet,Hayır,"Turkish, English",Quality control,"Tier3 supplier, 390 tons monthly capacity"
45,Excellence Mix Systems,Veli Yılmaz - Sales Manager,export@excellencemixsy.com.tr,+90 286 617 1713,www.excellencemixsystems.com.tr,"Ankara, Turkey",Pce Superplasticizers,Excellence PCE,4.15,3.9000000000000004,500,High efficiency polycarboxylate ether,"ISO 9001, TSE",21,"30% advance, 70% against B/L copy",398 tons,Hayır,10,Evet,Hayır,"Turkish, English",Quality control,"Tier3 supplier, 398 tons monthly capacity"
45,Excellence Mix Systems,Veli Yılmaz - Sales Manager,export@excellencemixsy.com.tr,+90 286 617 1713,www.excellencemixsystems.com.tr,"Ankara, Turkey",Accelerators,Excellence Accelerator,3.54,3.29,300,"Fast setting, strength development","ISO 9001, TSE",21,"30% advance, 70% against B/L copy",398 tons,Hayır,10,Evet,Hayır,"Turkish, English",Quality control,"Tier3 supplier, 398 tons monthly capacity"
45,Excellence Mix Systems,Veli Yılmaz - Sales Manager,export@excellencemixsy.com.tr,+90 286 617 1713,www.excellencemixsystems.com.tr,"Ankara, Turkey",Retarders,Excellence Retarder,2.83,2.58,300,Extended workability control,"ISO 9001, TSE",21,"30% advance, 70% against B/L copy",398 tons,Hayır,10,Evet,Hayır,"Turkish, English",Quality control,"Tier3 supplier, 398 tons monthly capacity"
46,Professional Concrete Tech,Ayşe Demir - Sales Manager,export@professionalcon.com.tr,+90 216 624 1736,www.professionalconcrete.com.tr,"Izmir, Turkey",Pce Superplasticizers,Professional PCE,4.2,3.95,500,High efficiency polycarboxylate ether,"ISO 9001, TSE",22,"30% advance, 70% against B/L copy",406 tons,Hayır,10,Evet,Hayır,"Turkish, English",Quality control,"Tier3 supplier, 406 tons monthly capacity"
46,Professional Concrete Tech,Ayşe Demir - Sales Manager,export@professionalcon.com.tr,+90 216 624 1736,www.professionalconcrete.com.tr,"Izmir, Turkey",Accelerators,Professional Accelerator,3.58,3.33,300,"Fast setting, strength development","ISO 9001, TSE",22,"30% advance, 70% against B/L copy",406 tons,Hayır,10,Evet,Hayır,"Turkish, English",Quality control,"Tier3 supplier, 406 tons monthly capacity"
46,Professional Concrete Tech,Ayşe Demir - Sales Manager,export@professionalcon.com.tr,+90 216 624 1736,www.professionalconcrete.com.tr,"Izmir, Turkey",Retarders,Professional Retarder,2.86,2.61,300,Extended workability control,"ISO 9001, TSE",22,"30% advance, 70% against B/L copy",406 tons,Hayır,10,Evet,Hayır,"Turkish, English",Quality control,"Tier3 supplier, 406 tons monthly capacity"
47,Superior Mix Solutions,Fatma Kaya - Sales Manager,export@superiormixsolu.com.tr,+90 226 631 1759,www.superiormixsolutions.com.tr,"Bursa, Turkey",Pce Superplasticizers,Superior PCE,4.25,4.0,500,High efficiency polycarboxylate ether,"ISO 9001, TSE",23,"30% advance, 70% against B/L copy",414 tons,Hayır,10,Evet,Hayır,"Turkish, English",Quality control,"Tier3 supplier, 414 tons monthly capacity"
47,Superior Mix Solutions,Fatma Kaya - Sales Manager,export@superiormixsolu.com.tr,+90 226 631 1759,www.superiormixsolutions.com.tr,"Bursa, Turkey",Accelerators,Superior Accelerator,3.62,3.37,300,"Fast setting, strength development","ISO 9001, TSE",23,"30% advance, 70% against B/L copy",414 tons,Hayır,10,Evet,Hayır,"Turkish, English",Quality control,"Tier3 supplier, 414 tons monthly capacity"
47,Superior Mix Solutions,Fatma Kaya - Sales Manager,export@superiormixsolu.com.tr,+90 226 631 1759,www.superiormixsolutions.com.tr,"Bursa, Turkey",Retarders,Superior Retarder,2.89,2.64,300,Extended workability control,"ISO 9001, TSE",23,"30% advance, 70% against B/L copy",414 tons,Hayır,10,Evet,Hayır,"Turkish, English",Quality control,"Tier3 supplier, 414 tons monthly capacity"
48,Advanced Construction Add,Mehmet Şahin - Sales Manager,export@advancedconstru.com.tr,+90 236 638 1782,www.advancedconstruction.com.tr,"Kocaeli, Turkey",Pce Superplasticizers,Advanced PCE,4.3,4.05,500,High efficiency polycarboxylate ether,"ISO 9001, TSE",24,"30% advance, 70% against B/L copy",422 tons,Hayır,10,Evet,Hayır,"Turkish, English",Quality control,"Tier3 supplier, 422 tons monthly capacity"
48,Advanced Construction Add,Mehmet Şahin - Sales Manager,export@advancedconstru.com.tr,+90 236 638 1782,www.advancedconstruction.com.tr,"Kocaeli, Turkey",Accelerators,Advanced Accelerator,3.66,3.41,300,"Fast setting, strength development","ISO 9001, TSE",24,"30% advance, 70% against B/L copy",422 tons,Hayır,10,Evet,Hayır,"Turkish, English",Quality control,"Tier3 supplier, 422 tons monthly capacity"
48,Advanced Construction Add,Mehmet Şahin - Sales Manager,export@advancedconstru.com.tr,+90 236 638 1782,www.advancedconstruction.com.tr,"Kocaeli, Turkey",Retarders,Advanced Retarder,2.92,2.67,300,Extended workability control,"ISO 9001, TSE",24,"30% advance, 70% against B/L copy",422 tons,Hayır,10,Evet,Hayır,"Turkish, English",Quality control,"Tier3 supplier, 422 tons monthly capacity"
49,Premium Concrete Plus,Ahmet Özkan - Sales Manager,export@premiumconcrete.com.tr,+90 246 645 1805,www.premiumconcreteplus.com.tr,"Sakarya, Turkey",Pce Superplasticizers,Premium PCE,4.35,4.1,500,High efficiency polycarboxylate ether,"ISO 9001, TSE",25,"30% advance, 70% against B/L copy",430 tons,Hayır,10,Evet,Hayır,"Turkish, English",Quality control,"Tier3 supplier, 430 tons monthly capacity"
49,Premium Concrete Plus,Ahmet Özkan - Sales Manager,export@premiumconcrete.com.tr,+90 246 645 1805,www.premiumconcreteplus.com.tr,"Sakarya, Turkey",Accelerators,Premium Accelerator,3.7,3.45,300,"Fast setting, strength development","ISO 9001, TSE",25,"30% advance, 70% against B/L copy",430 tons,Hayır,10,Evet,Hayır,"Turkish, English",Quality control,"Tier3 supplier, 430 tons monthly capacity"
49,Premium Concrete Plus,Ahmet Özkan - Sales Manager,export@premiumconcrete.com.tr,+90 246 645 1805,www.premiumconcreteplus.com.tr,"Sakarya, Turkey",Retarders,Premium Retarder,2.95,2.7,300,Extended workability control,"ISO 9001, TSE",25,"30% advance, 70% against B/L copy",430 tons,Hayır,10,Evet,Hayır,"Turkish, English",Quality control,"Tier3 supplier, 430 tons monthly capacity"
50,Master Construction Chem,Ali Yılmaz - Sales Manager,export@masterconstruct.com.tr,+90 256 652 1828,www.masterconstructionch.com.tr,"Eskişehir, Turkey",Pce Superplasticizers,Master PCE,4.4,4.15,500,High efficiency polycarboxylate ether,"ISO 9001, TSE",26,"30% advance, 70% against B/L copy",438 tons,Hayır,10,Evet,Hayır,"Turkish, English",Quality control,"Tier3 supplier, 438 tons monthly capacity"
50,Master Construction Chem,Ali Yılmaz - Sales Manager,export@masterconstruct.com.tr,+90 256 652 1828,www.masterconstructionch.com.tr,"Eskişehir, Turkey",Accelerators,Master Accelerator,3.74,3.49,300,"Fast setting, strength development","ISO 9001, TSE",26,"30% advance, 70% against B/L copy",438 tons,Hayır,10,Evet,Hayır,"Turkish, English",Quality control,"Tier3 supplier, 438 tons monthly capacity"
50,Master Construction Chem,Ali Yılmaz - Sales Manager,export@masterconstruct.com.tr,+90 256 652 1828,www.masterconstructionch.com.tr,"Eskişehir, Turkey",Retarders,Master Retarder,2.98,2.73,300,Extended workability control,"ISO 9001, TSE",26,"30% advance, 70% against B/L copy",438 tons,Hayır,10,Evet,Hayır,"Turkish, English",Quality control,"Tier3 supplier, 438 tons monthly capacity"
51,Professional Building Mix,Veli Demir - Sales Manager,export@professionalbui.com.tr,+90 266 659 1851,www.professionalbuilding.com.tr,"Konya, Turkey",Pce Superplasticizers,Professional PCE,4.45,4.2,500,High efficiency polycarboxylate ether,"ISO 9001, TSE",27,"30% advance, 70% against B/L copy",446 tons,Hayır,10,Evet,Hayır,"Turkish, English",Quality control,"Tier3 supplier, 446 tons monthly capacity"
51,Professional Building Mix,Veli Demir - Sales Manager,export@professionalbui.com.tr,+90 266 659 1851,www.professionalbuilding.com.tr,"Konya, Turkey",Accelerators,Professional Accelerator,3.7800000000000002,3.5300000000000002,300,"Fast setting, strength development","ISO 9001, TSE",27,"30% advance, 70% against B/L copy",446 tons,Hayır,10,Evet,Hayır,"Turkish, English",Quality control,"Tier3 supplier, 446 tons monthly capacity"
51,Professional Building Mix,Veli Demir - Sales Manager,export@professionalbui.com.tr,+90 266 659 1851,www.professionalbuilding.com.tr,"Konya, Turkey",Retarders,Professional Retarder,3.01,2.76,300,Extended workability control,"ISO 9001, TSE",27,"30% advance, 70% against B/L copy",446 tons,Hayır,10,Evet,Hayır,"Turkish, English",Quality control,"Tier3 supplier, 446 tons monthly capacity"
52,Excellence Concrete Tech,Ayşe Kaya - Sales Manager,export@excellenceconcr.com.tr,+90 276 666 1874,www.excellenceconcretete.com.tr,"Adana, Turkey",Pce Superplasticizers,Excellence PCE,4.5,4.25,500,High efficiency polycarboxylate ether,"ISO 9001, TSE",28,"30% advance, 70% against B/L copy",454 tons,Hayır,10,Evet,Hayır,"Turkish, English",Quality control,"Tier3 supplier, 454 tons monthly capacity"
52,Excellence Concrete Tech,Ayşe Kaya - Sales Manager,export@excellenceconcr.com.tr,+90 276 666 1874,www.excellenceconcretete.com.tr,"Adana, Turkey",Accelerators,Excellence Accelerator,3.8200000000000003,3.5700000000000003,300,"Fast setting, strength development","ISO 9001, TSE",28,"30% advance, 70% against B/L copy",454 tons,Hayır,10,Evet,Hayır,"Turkish, English",Quality control,"Tier3 supplier, 454 tons monthly capacity"
52,Excellence Concrete Tech,Ayşe Kaya - Sales Manager,export@excellenceconcr.com.tr,+90 276 666 1874,www.excellenceconcretete.com.tr,"Adana, Turkey",Retarders,Excellence Retarder,3.04,2.79,300,Extended workability control,"ISO 9001, TSE",28,"30% advance, 70% against B/L copy",454 tons,Hayır,10,Evet,Hayır,"Turkish, English",Quality control,"Tier3 supplier, 454 tons monthly capacity"
53,Superior Construction Add,Fatma Şahin - Sales Manager,export@superiorconstru.com.tr,+90 286 673 1897,www.superiorconstruction.com.tr,"Gaziantep, Turkey",Pce Superplasticizers,Superior PCE,4.55,4.3,500,High efficiency polycarboxylate ether,"ISO 9001, TSE",29,"30% advance, 70% against B/L copy",462 tons,Hayır,10,Evet,Hayır,"Turkish, English",Quality control,"Tier3 supplier, 462 tons monthly capacity"
53,Superior Construction Add,Fatma Şahin - Sales Manager,export@superiorconstru.com.tr,+90 286 673 1897,www.superiorconstruction.com.tr,"Gaziantep, Turkey",Accelerators,Superior Accelerator,3.8600000000000003,3.6100000000000003,300,"Fast setting, strength development","ISO 9001, TSE",29,"30% advance, 70% against B/L copy",462 tons,Hayır,10,Evet,Hayır,"Turkish, English",Quality control,"Tier3 supplier, 462 tons monthly capacity"
53,Superior Construction Add,Fatma Şahin - Sales Manager,export@superiorconstru.com.tr,+90 286 673 1897,www.superiorconstruction.com.tr,"Gaziantep, Turkey",Retarders,Superior Retarder,3.07,2.82,300,Extended workability control,"ISO 9001, TSE",29,"30% advance, 70% against B/L copy",462 tons,Hayır,10,Evet,Hayır,"Turkish, English",Quality control,"Tier3 supplier, 462 tons monthly capacity"
54,Advanced Building Plus,Mehmet Özkan - Sales Manager,export@advancedbuildin.com.tr,+90 216 680 1920,www.advancedbuildingplus.com.tr,"Istanbul, Turkey",Pce Superplasticizers,Advanced PCE,3.6,3.35,500,High efficiency polycarboxylate ether,"ISO 9001, TSE",30,"30% advance, 70% against B/L copy",470 tons,Hayır,10,Evet,Hayır,"Turkish, English",Quality control,"Tier3 supplier, 470 tons monthly capacity"
54,Advanced Building Plus,Mehmet Özkan - Sales Manager,export@advancedbuildin.com.tr,+90 216 680 1920,www.advancedbuildingplus.com.tr,"Istanbul, Turkey",Accelerators,Advanced Accelerator,3.1,2.85,300,"Fast setting, strength development","ISO 9001, TSE",30,"30% advance, 70% against B/L copy",470 tons,Hayır,10,Evet,Hayır,"Turkish, English",Quality control,"Tier3 supplier, 470 tons monthly capacity"
54,Advanced Building Plus,Mehmet Özkan - Sales Manager,export@advancedbuildin.com.tr,+90 216 680 1920,www.advancedbuildingplus.com.tr,"Istanbul, Turkey",Retarders,Advanced Retarder,2.5,2.25,300,Extended workability control,"ISO 9001, TSE",30,"30% advance, 70% against B/L copy",470 tons,Hayır,10,Evet,Hayır,"Turkish, English",Quality control,"Tier3 supplier, 470 tons monthly capacity"
55,Premium Mix Technology,Ahmet Yılmaz - Sales Manager,export@premiummixtechn.com.tr,+90 226 687 1943,www.premiummixtechnology.com.tr,"Ankara, Turkey",Pce Superplasticizers,Premium PCE,3.65,3.4,500,High efficiency polycarboxylate ether,"ISO 9001, TSE",31,"30% advance, 70% against B/L copy",478 tons,Hayır,10,Evet,Hayır,"Turkish, English",Quality control,"Tier3 supplier, 478 tons monthly capacity"
55,Premium Mix Technology,Ahmet Yılmaz - Sales Manager,export@premiummixtechn.com.tr,+90 226 687 1943,www.premiummixtechnology.com.tr,"Ankara, Turkey",Accelerators,Premium Accelerator,3.14,2.89,300,"Fast setting, strength development","ISO 9001, TSE",31,"30% advance, 70% against B/L copy",478 tons,Hayır,10,Evet,Hayır,"Turkish, English",Quality control,"Tier3 supplier, 478 tons monthly capacity"
55,Premium Mix Technology,Ahmet Yılmaz - Sales Manager,export@premiummixtechn.com.tr,+90 226 687 1943,www.premiummixtechnology.com.tr,"Ankara, Turkey",Retarders,Premium Retarder,2.53,2.28,300,Extended workability control,"ISO 9001, TSE",31,"30% advance, 70% against B/L copy",478 tons,Hayır,10,Evet,Hayır,"Turkish, English",Quality control,"Tier3 supplier, 478 tons monthly capacity"
56,Master Concrete Solutions,Ali Demir - Sales Manager,export@masterconcretes.com.tr,+90 236 694 1966,www.masterconcretesoluti.com.tr,"Izmir, Turkey",Pce Superplasticizers,Master PCE,3.7,3.45,500,High efficiency polycarboxylate ether,"ISO 9001, TSE",32,"30% advance, 70% against B/L copy",486 tons,Hayır,10,Evet,Hayır,"Turkish, English",Quality control,"Tier3 supplier, 486 tons monthly capacity"
56,Master Concrete Solutions,Ali Demir - Sales Manager,export@masterconcretes.com.tr,+90 236 694 1966,www.masterconcretesoluti.com.tr,"Izmir, Turkey",Accelerators,Master Accelerator,3.18,2.93,300,"Fast setting, strength development","ISO 9001, TSE",32,"30% advance, 70% against B/L copy",486 tons,Hayır,10,Evet,Hayır,"Turkish, English",Quality control,"Tier3 supplier, 486 tons monthly capacity"
56,Master Concrete Solutions,Ali Demir - Sales Manager,export@masterconcretes.com.tr,+90 236 694 1966,www.masterconcretesoluti.com.tr,"Izmir, Turkey",Retarders,Master Retarder,2.56,2.31,300,Extended workability control,"ISO 9001, TSE",32,"30% advance, 70% against B/L copy",486 tons,Hayır,10,Evet,Hayır,"Turkish, English",Quality control,"Tier3 supplier, 486 tons monthly capacity"
57,Professional Addition Systems,Veli Kaya - Sales Manager,export@professionaladd.com.tr,+90 246 701 1989,www.professionaladdition.com.tr,"Bursa, Turkey",Pce Superplasticizers,Professional PCE,3.75,3.5,500,High efficiency polycarboxylate ether,"ISO 9001, TSE",33,"30% advance, 70% against B/L copy",494 tons,Hayır,10,Evet,Hayır,"Turkish, English",Quality control,"Tier3 supplier, 494 tons monthly capacity"
57,Professional Addition Systems,Veli Kaya - Sales Manager,export@professionaladd.com.tr,+90 246 701 1989,www.professionaladdition.com.tr,"Bursa, Turkey",Accelerators,Professional Accelerator,3.22,2.97,300,"Fast setting, strength development","ISO 9001, TSE",33,"30% advance, 70% against B/L copy",494 tons,Hayır,10,Evet,Hayır,"Turkish, English",Quality control,"Tier3 supplier, 494 tons monthly capacity"
57,Professional Addition Systems,Veli Kaya - Sales Manager,export@professionaladd.com.tr,+90 246 701 1989,www.professionaladdition.com.tr,"Bursa, Turkey",Retarders,Professional Retarder,2.59,2.34,300,Extended workability control,"ISO 9001, TSE",33,"30% advance, 70% against B/L copy",494 tons,Hayır,10,Evet,Hayır,"Turkish, English",Quality control,"Tier3 supplier, 494 tons monthly capacity"
58,Excellence Building Chem,Ayşe Şahin - Sales Manager,export@excellencebuild.com.tr,+90 256 708 2012,www.excellencebuildingch.com.tr,"Kocaeli, Turkey",Pce Superplasticizers,Excellence PCE,3.8000000000000003,3.5500000000000003,500,High efficiency polycarboxylate ether,"ISO 9001, TSE",34,"30% advance, 70% against B/L copy",502 tons,Hayır,10,Evet,Hayır,"Turkish, English",Quality control,"Tier3 supplier, 502 tons monthly capacity"
58,Excellence Building Chem,Ayşe Şahin - Sales Manager,export@excellencebuild.com.tr,+90 256 708 2012,www.excellencebuildingch.com.tr,"Kocaeli, Turkey",Accelerators,Excellence Accelerator,3.2600000000000002,3.0100000000000002,300,"Fast setting, strength development","ISO 9001, TSE",34,"30% advance, 70% against B/L copy",502 tons,Hayır,10,Evet,Hayır,"Turkish, English",Quality control,"Tier3 supplier, 502 tons monthly capacity"
58,Excellence Building Chem,Ayşe Şahin - Sales Manager,export@excellencebuild.com.tr,+90 256 708 2012,www.excellencebuildingch.com.tr,"Kocaeli, Turkey",Retarders,Excellence Retarder,2.62,2.37,300,Extended workability control,"ISO 9001, TSE",34,"30% advance, 70% against B/L copy",502 tons,Hayır,10,Evet,Hayır,"Turkish, English",Quality control,"Tier3 supplier, 502 tons monthly capacity"
59,Superior Concrete Plus,Fatma Özkan - Sales Manager,export@superiorconcret.com.tr,+90 266 715 2035,www.superiorconcreteplus.com.tr,"Sakarya, Turkey",Pce Superplasticizers,Superior PCE,3.85,3.6,500,High efficiency polycarboxylate ether,"ISO 9001, TSE",20,"30% advance, 70% against B/L copy",510 tons,Hayır,10,Evet,Hayır,"Turkish, English",Quality control,"Tier3 supplier, 510 tons monthly capacity"
59,Superior Concrete Plus,Fatma Özkan - Sales Manager,export@superiorconcret.com.tr,+90 266 715 2035,www.superiorconcreteplus.com.tr,"Sakarya, Turkey",Accelerators,Superior Accelerator,3.3000000000000003,3.0500000000000003,300,"Fast setting, strength development","ISO 9001, TSE",20,"30% advance, 70% against B/L copy",510 tons,Hayır,10,Evet,Hayır,"Turkish, English",Quality control,"Tier3 supplier, 510 tons monthly capacity"
59,Superior Concrete Plus,Fatma Özkan - Sales Manager,export@superiorconcret.com.tr,+90 266 715 2035,www.superiorconcreteplus.com.tr,"Sakarya, Turkey",Retarders,Superior Retarder,2.65,2.4,300,Extended workability control,"ISO 9001, TSE",20,"30% advance, 70% against B/L copy",510 tons,Hayır,10,Evet,Hayır,"Turkish, English",Quality control,"Tier3 supplier, 510 tons monthly capacity"
60,Advanced Mix Professional,Mehmet Yılmaz - Sales Manager,export@advancedmixprof.com.tr,+90 276 722 2058,www.advancedmixprofessio.com.tr,"Eskişehir, Turkey",Pce Superplasticizers,Advanced PCE,3.9000000000000004,3.6500000000000004,500,High efficiency polycarboxylate ether,"ISO 9001, TSE",21,"30% advance, 70% against B/L copy",518 tons,Hayır,10,Evet,Hayır,"Turkish, English",Quality control,"Tier3 supplier, 518 tons monthly capacity"
60,Advanced Mix Professional,Mehmet Yılmaz - Sales Manager,export@advancedmixprof.com.tr,+90 276 722 2058,www.advancedmixprofessio.com.tr,"Eskişehir, Turkey",Accelerators,Advanced Accelerator,3.34,3.09,300,"Fast setting, strength development","ISO 9001, TSE",21,"30% advance, 70% against B/L copy",518 tons,Hayır,10,Evet,Hayır,"Turkish, English",Quality control,"Tier3 supplier, 518 tons monthly capacity"
60,Advanced Mix Professional,Mehmet Yılmaz - Sales Manager,export@advancedmixprof.com.tr,+90 276 722 2058,www.advancedmixprofessio.com.tr,"Eskişehir, Turkey",Retarders,Advanced Retarder,2.68,2.43,300,Extended workability control,"ISO 9001, TSE",21,"30% advance, 70% against B/L copy",518 tons,Hayır,10,Evet,Hayır,"Turkish, English",Quality control,"Tier3 supplier, 518 tons monthly capacity"
61,Premium Construction Tech,Ahmet Demir - Sales Manager,export@premiumconstruc.com.tr,+90 286 729 2081,www.premiumconstructiont.com.tr,"Konya, Turkey",Pce Superplasticizers,Premium PCE,3.95,3.7,500,High efficiency polycarboxylate ether,"ISO 9001, TSE",22,"30% advance, 70% against B/L copy",526 tons,Hayır,10,Evet,Hayır,"Turkish, English",Quality control,"Tier3 supplier, 526 tons monthly capacity"
61,Premium Construction Tech,Ahmet Demir - Sales Manager,export@premiumconstruc.com.tr,+90 286 729 2081,www.premiumconstructiont.com.tr,"Konya, Turkey",Accelerators,Premium Accelerator,3.38,3.13,300,"Fast setting, strength development","ISO 9001, TSE",22,"30% advance, 70% against B/L copy",526 tons,Hayır,10,Evet,Hayır,"Turkish, English",Quality control,"Tier3 supplier, 526 tons monthly capacity"
61,Premium Construction Tech,Ahmet Demir - Sales Manager,export@premiumconstruc.com.tr,+90 286 729 2081,www.premiumconstructiont.com.tr,"Konya, Turkey",Retarders,Premium Retarder,2.71,2.46,300,Extended workability control,"ISO 9001, TSE",22,"30% advance, 70% against B/L copy",526 tons,Hayır,10,Evet,Hayır,"Turkish, English",Quality control,"Tier3 supplier, 526 tons monthly capacity"
62,Master Building Solutions,Ali Kaya - Sales Manager,export@masterbuildings.com.tr,+90 216 736 2104,www.masterbuildingsoluti.com.tr,"Adana, Turkey",Pce Superplasticizers,Master PCE,4.0,3.75,500,High efficiency polycarboxylate ether,"ISO 9001, TSE",23,"30% advance, 70% against B/L copy",534 tons,Hayır,10,Evet,Hayır,"Turkish, English",Quality control,"Tier3 supplier, 534 tons monthly capacity"
62,Master Building Solutions,Ali Kaya - Sales Manager,export@masterbuildings.com.tr,+90 216 736 2104,www.masterbuildingsoluti.com.tr,"Adana, Turkey",Accelerators,Master Accelerator,3.42,3.17,300,"Fast setting, strength development","ISO 9001, TSE",23,"30% advance, 70% against B/L copy",534 tons,Hayır,10,Evet,Hayır,"Turkish, English",Quality control,"Tier3 supplier, 534 tons monthly capacity"
62,Master Building Solutions,Ali Kaya - Sales Manager,export@masterbuildings.com.tr,+90 216 736 2104,www.masterbuildingsoluti.com.tr,"Adana, Turkey",Retarders,Master Retarder,2.74,2.49,300,Extended workability control,"ISO 9001, TSE",23,"30% advance, 70% against B/L copy",534 tons,Hayır,10,Evet,Hayır,"Turkish, English",Quality control,"Tier3 supplier, 534 tons monthly capacity"
63,Professional Concrete Add,Veli Şahin - Sales Manager,export@professionalcon.com.tr,+90 226 743 2127,www.professionalconcrete.com.tr,"Gaziantep, Turkey",Pce Superplasticizers,Professional PCE,4.05,3.8,500,High efficiency polycarboxylate ether,"ISO 9001, TSE",24,"30% advance, 70% against B/L copy",542 tons,Hayır,10,Evet,Hayır,"Turkish, English",Quality control,"Tier3 supplier, 542 tons monthly capacity"
63,Professional Concrete Add,Veli Şahin - Sales Manager,export@professionalcon.com.tr,+90 226 743 2127,www.professionalconcrete.com.tr,"Gaziantep, Turkey",Accelerators,Professional Accelerator,3.46,3.21,300,"Fast setting, strength development","ISO 9001, TSE",24,"30% advance, 70% against B/L copy",542 tons,Hayır,10,Evet,Hayır,"Turkish, English",Quality control,"Tier3 supplier, 542 tons monthly capacity"
63,Professional Concrete Add,Veli Şahin - Sales Manager,export@professionalcon.com.tr,+90 226 743 2127,www.professionalconcrete.com.tr,"Gaziantep, Turkey",Retarders,Professional Retarder,2.77,2.52,300,Extended workability control,"ISO 9001, TSE",24,"30% advance, 70% against B/L copy",542 tons,Hayır,10,Evet,Hayır,"Turkish, English",Quality control,"Tier3 supplier, 542 tons monthly capacity"
64,Denizli Concrete Chemicals,Mehmet Yıldız - Owner,info@denizliconcrete.com.tr,+90 224 500 2000,www.denizliconcretechemi.com.tr,"Denizli, Turkey",Pce Superplasticizers,Denizli PCE,3.3,3.05,1000,High efficiency polycarboxylate ether,"TSE, Local Certificates",25,"30% advance, 70% against B/L copy",100 tons,Evet,5,Evet,Hayır,"Turkish, English",Basic testing,"Tier4 supplier, 100 tons monthly capacity"
64,Denizli Concrete Chemicals,Mehmet Yıldız - Owner,info@denizliconcrete.com.tr,+90 224 500 2000,www.denizliconcretechemi.com.tr,"Denizli, Turkey",Accelerators,Denizli Accelerator,2.85,2.6,500,"Fast setting, strength development","TSE, Local Certificates",25,"30% advance, 70% against B/L copy",100 tons,Evet,5,Evet,Hayır,"Turkish, English",Basic testing,"Tier4 supplier, 100 tons monthly capacity"
64,Denizli Concrete Chemicals,Mehmet Yıldız - Owner,info@denizliconcrete.com.tr,+90 224 500 2000,www.denizliconcretechemi.com.tr,"Denizli, Turkey",Retarders,Denizli Retarder,2.25,2.0,500,Extended workability control,"TSE, Local Certificates",25,"30% advance, 70% against B/L copy",100 tons,Evet,5,Evet,Hayır,"Turkish, English",Basic testing,"Tier4 supplier, 100 tons monthly capacity"
65,Manisa Concrete Chemicals,Ali Kara - Owner,info@manisaconcrete.com.tr,+90 239 509 2017,www.manisaconcretechemic.com.tr,"Manisa, Turkey",Pce Superplasticizers,Manisa PCE,3.34,3.09,1000,High efficiency polycarboxylate ether,"TSE, Local Certificates",26,"30% advance, 70% against B/L copy",105 tons,Evet,5,Evet,Hayır,"Turkish, English",Basic testing,"Tier4 supplier, 105 tons monthly capacity"
65,Manisa Concrete Chemicals,Ali Kara - Owner,info@manisaconcrete.com.tr,+90 239 509 2017,www.manisaconcretechemic.com.tr,"Manisa, Turkey",Accelerators,Manisa Accelerator,2.88,2.63,500,"Fast setting, strength development","TSE, Local Certificates",26,"30% advance, 70% against B/L copy",105 tons,Evet,5,Evet,Hayır,"Turkish, English",Basic testing,"Tier4 supplier, 105 tons monthly capacity"
65,Manisa Concrete Chemicals,Ali Kara - Owner,info@manisaconcrete.com.tr,+90 239 509 2017,www.manisaconcretechemic.com.tr,"Manisa, Turkey",Retarders,Manisa Retarder,2.275,2.025,500,Extended workability control,"TSE, Local Certificates",26,"30% advance, 70% against B/L copy",105 tons,Evet,5,Evet,Hayır,"Turkish, English",Basic testing,"Tier4 supplier, 105 tons monthly capacity"
66,Balıkesir Concrete Chemicals,Fatma Beyaz - Owner,info@balıkesirconcrete.com.tr,+90 254 518 2034,www.balıkesirconcreteche.com.tr,"Balıkesir, Turkey",Pce Superplasticizers,Balıkesir PCE,3.38,3.13,1000,High efficiency polycarboxylate ether,"TSE, Local Certificates",27,"30% advance, 70% against B/L copy",110 tons,Evet,5,Evet,Hayır,"Turkish, English",Basic testing,"Tier4 supplier, 110 tons monthly capacity"
66,Balıkesir Concrete Chemicals,Fatma Beyaz - Owner,info@balıkesirconcrete.com.tr,+90 254 518 2034,www.balıkesirconcreteche.com.tr,"Balıkesir, Turkey",Accelerators,Balıkesir Accelerator,2.91,2.66,500,"Fast setting, strength development","TSE, Local Certificates",27,"30% advance, 70% against B/L copy",110 tons,Evet,5,Evet,Hayır,"Turkish, English",Basic testing,"Tier4 supplier, 110 tons monthly capacity"
